,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4,Is_5
67,42070882367.18051,1931.6775562311884,-0.15072148101029348,-1.2744820579465334e-05,-1.6224373896434207e-07,-2.3536553276954655e-07,-3.031592436171744e-07,-4.883117667511435e-07,-8.922126506324042e-08
68,59542430592.74226,1631.8423614403202,-0.30909027845519055,-1.77417653226575e-05,-2.2306847473756553e-07,-3.321819848732412e-07,-4.3337613672249173e-07,-7.102960785154535e-07,-1.3067177945539537e-07
69,125435324623.49889,1277.6406587396627,-1.4610741634789592,-2.5915432950418357e-05,-2.65421555741439e-07,-5.113298390056297e-07,-7.315624915638368e-07,-1.3216711728013171e-06,-2.2799312000573177e-07
70,122078004139.63998,2459.7855816616493,-1.0686475965802742,-2.4750117708987128e-05,-3.016050252384341e-07,-5.036724820461862e-07,-6.880929277615554e-07,-1.187736571274616e-06,-2.0854015344205584e-07
71,114274090175.0965,681.1910944957941,-1.0181272292920418,-2.8936556475802618e-05,-3.3590437563684333e-07,-5.731459772151174e-07,-7.879317871740175e-07,-1.3653498851289126e-06,-2.7906769134156377e-07
72,47204763115.50102,993.7394456172974,-1.2034729316944566,-1.2902611769686738e-05,-1.32869529019647e-07,-2.3970126411160505e-07,-3.362759340571172e-07,-5.963102804900637e-07,-9.629715693688018e-08
73,215735074396.25488,1747.0829468394984,-1.9507308228591989,-3.258487964277879e-05,-2.8442704752401455e-07,-6.741001898095736e-07,-1.0125457790297766e-06,-1.9069637856514348e-06,-3.08653450495572e-07
74,263630087775.0236,1611.3193404426117,-1.9590846144424259,-3.8637721095322515e-05,-3.3903277215247454e-07,-8.042753540447498e-07,-1.2059531519661346e-06,-2.2628649592137484e-06,-3.810357071420226e-07
75,56407422355.93844,2332.6861506794758,-1.3296104230719539,-1.1343197061712925e-05,-1.2703636421804642e-07,-2.2801120758667492e-07,-3.186702105843386e-07,-5.612119079292132e-07,-8.925427913980267e-08
76,70967760805.15706,974.9514508315607,-1.4704061898241283,-1.6869975581436566e-05,-1.631173567373622e-07,-3.2198787677404026e-07,-4.641073072059757e-07,-8.448003002118392e-07,-1.371799113344546e-07
77,76741472916.70091,623.820502181529,-0.1407845219295245,-2.725628743585555e-05,-3.4747289556159014e-07,-5.118609568398083e-07,-6.645926179388833e-07,-1.083091029404313e-06,-2.354875264349808e-07
78,67691015182.77153,826.8817773581491,-1.7365600528766596,-1.5219763436799912e-05,-1.2849853896939417e-07,-2.908182695969143e-07,-4.337099692542666e-07,-8.135257430074843e-07,-1.25907296433007e-07
79,293641270653.6619,469.54588798053646,-0.3092423254862049,-5.845382874455263e-05,-9.699590273554205e-07,-1.4111132602309179e-06,-1.8085447991965118e-06,-2.8596435671617696e-06,-8.515481048104058e-07
80,100135643311.649,1110.0415838506328,-1.1820557443157156,-2.4052254171295728e-05,-2.615159001335434e-07,-4.643639748819712e-07,-6.481281774666055e-07,-1.1436662629929047e-06,-2.0416220948720733e-07
81,213768811798.1031,1711.261075103082,-1.4472230105936545,-3.869773605605229e-05,-4.2194870395692165e-07,-7.868222397986341e-07,-1.113820582223256e-06,-1.9898558826543466e-06,-3.6197232354624484e-07
82,260163717481.8676,1756.2864665845993,-0.2563357994939195,-6.142969316181326e-05,-8.456865687684489e-07,-1.2342574508056973e-06,-1.5949225630080142e-06,-2.5820719214026887e-06,-5.837690152252165e-07
83,208754787639.823,2768.8554497250543,-1.1620651413075065,-3.795815504654952e-05,-4.687208339192313e-07,-7.884456187891019e-07,-1.0798203469756032e-06,-1.8690115537834643e-06,-3.4141078899169753e-07
84,290189831383.328,1748.4750993674463,-0.9530818015216234,-5.669815143022244e-05,-7.154537643464566e-07,-1.1607492466588278e-06,-1.5663503953194654e-06,-2.6615441501865913e-06,-5.554822388393828e-07
85,137610887124.13626,1820.5599172869956,-1.0724120017001577,-2.9555368504199026e-05,-3.478924369104213e-07,-5.885039986629144e-07,-8.079048069928041e-07,-1.4021005774491663e-06,-2.539354241628241e-07
86,71020455965.16692,2094.0865369824423,-1.9466788244161861,-1.1578611829366584e-05,-9.981078540196299e-08,-2.39639772638157e-07,-3.6116378388490945e-07,-6.820254122213419e-07,-9.655097873342143e-08
87,63378430986.262886,1671.4099695749999,-1.055742287047215,-1.525035956340645e-05,-1.7328450257655812e-07,-2.9461825539472466e-07,-4.049801938644789e-07,-7.030673687930543e-07,-1.1745062069611833e-07
88,272916222419.0604,1506.73870701322,-1.096615530404499,-5.2405616284776484e-05,-6.397117247895192e-07,-1.076200166949792e-06,-1.4711050993460423e-06,-2.532273450928782e-06,-5.222611435741389e-07
89,72983348516.83473,1999.0439611812628,-0.7227259206557548,-1.80913587242838e-05,-2.232245114289018e-07,-3.519572880009587e-07,-4.7028709205613017e-07,-7.920560407153533e-07,-1.40180035859061e-07
90,72729837417.47026,2674.0353685764862,-0.37890273966444243,-1.8029437543594766e-05,-2.4010809626768155e-07,-3.55466591970796e-07,-4.622660109398308e-07,-7.539044390652798e-07,-1.3926530991542658e-07
91,61046473723.34702,1307.5781421235679,-1.1528136746998847,-1.5305157903793953e-05,-1.6564656462976906e-07,-2.916002867762865e-07,-4.057989112437128e-07,-7.138229104701612e-07,-1.1792733434637589e-07
92,228074332443.8229,916.8140450026982,-0.5706030319752253,-5.27047856411796e-05,-7.087775475108672e-07,-1.0872641980977992e-06,-1.433079125470888e-06,-2.365753679549123e-06,-5.628875351656021e-07
93,294703111826.9432,1475.2543026846567,-0.7831716894757041,-6.0212284227838184e-05,-7.870070825626311e-07,-1.2394853292384883e-06,-1.652494230649281e-06,-2.76774354456426e-06,-6.115027999917404e-07
94,243547005365.41675,717.1499347624431,-1.2596597764286082,-4.5584888941887104e-05,-5.512041493666251e-07,-9.779768910625046e-07,-1.355357972805616e-06,-2.3493683045854134e-06,-5.289324215215732e-07
95,66697180884.899925,714.0695982161924,-1.0215892682124068,-1.9473242408469235e-05,-2.1109839283130508e-07,-3.640480499916549e-07,-5.031753910375474e-07,-8.791897158955795e-07,-1.5993033060925143e-07
96,106373990980.0082,2169.2148502424807,-0.7342821508022721,-2.47773365343191e-05,-3.1234407864097765e-07,-4.915700769992566e-07,-6.566061833929596e-07,-1.106274945434154e-06,-2.0209332054786123e-07
97,58366198698.81979,1831.637067216631,-1.2369239736987572,-1.3019729460705387e-05,-1.4347766863451936e-07,-2.5457311927499467e-07,-3.5485345708905204e-07,-6.243083396465e-07,-1.0051829564022392e-07
98,198028879592.03513,1708.7602949699804,-1.8545152092305508,-3.155976118083793e-05,-2.889875718233475e-07,-6.48288103782642e-07,-9.62918106516763e-07,-1.797217425136355e-06,-2.94903621567349e-07
99,229143061483.32892,2584.575563499264,-0.30745660031843736,-5.1958089979886165e-05,-7.181599674818063e-07,-1.0492002865665946e-06,-1.3573922346881775e-06,-2.204051569809342e-06,-4.621867858910192e-07
100,79380760125.30432,2178.773850122424,-0.5172546051198998,-2.009395838829995e-05,-2.578183322310866e-07,-3.920774194867856e-07,-5.161581613314138e-07,-8.548588181902899e-07,-1.562742703934447e-07
101,148670225034.56052,334.7182205023458,-1.5868914368773608,-2.6667636743701803e-05,-3.0264713982584375e-07,-6.150389217854954e-07,-8.827695287020103e-07,-1.5737220513862982e-06,-3.5608479551650896e-07
102,220109693457.01028,393.61615757781635,-1.0340030722745777,-4.0769970717802115e-05,-5.801051971797962e-07,-9.647620776936495e-07,-1.302948951491598e-06,-2.184267862436301e-06,-5.746779490861711e-07
103,176250412798.2985,754.5347381383227,-1.6953436779108582,-3.219089478877192e-05,-3.0979207689070796e-07,-6.625764990965927e-07,-9.696665919864944e-07,-1.7761503537593348e-06,-3.3758507259119544e-07
104,45604627339.09999,2512.983512149018,-1.7561108885512045,-7.763371399507362e-06,-7.657898704912151e-08,-1.6052966750804224e-07,-2.3392945362036294e-07,-4.2730004906700013e-07,-6.254583314767452e-08
105,77455020058.46031,2704.5878723307724,-0.5765203346827876,-1.8127801522485022e-05,-2.3751072837519664e-07,-3.6132807097318507e-07,-4.7550548050669745e-07,-7.864511581894188e-07,-1.4247613163659832e-07
106,212696587559.91226,1863.5779989893922,-0.1028874114463938,-5.3863657284392694e-05,-7.41592393751073e-07,-1.0661454969282201e-06,-1.3688292330294776e-06,-2.2009999904572664e-06,-4.856084657914287e-07
107,58956877370.31785,879.8332600033767,-0.5079818895159738,-1.9511955109602427e-05,-2.3067261675486012e-07,-3.580170192773734e-07,-4.756667868331352e-07,-7.969894061894275e-07,-1.4920535409782958e-07
108,73416183809.70772,607.981096034817,-0.29989838849009387,-2.5530149895008567e-05,-3.1803133134758067e-07,-4.787449081748483e-07,-6.275826887054075e-07,-1.0344444528918021e-06,-2.194847218204072e-07
109,295507448055.6171,753.6808982757077,-1.5093007300082684,-4.8241389911190027e-05,-5.549500992812726e-07,-1.0616692231240164e-06,-1.5017797303680556e-06,-2.6479028117096224e-06,-5.789006249651974e-07
110,63254182277.055954,903.2760351839764,-0.38845267876415535,-2.1185575928311746e-05,-2.55851100438169e-07,-3.89574518367984e-07,-5.134647057822364e-07,-8.525154615210921e-07,-1.634325800770184e-07
